DateTime,temperature,humidity,wind speed,General diffuse flow,Diffuse flow,Total electricity
1/1/2017 0:00,6.559,73.8,0.083,0.051,0.119,70425.53544
1/1/2017 0:10,6.414,74.5,0.083,0.07,0.085,69320.84387
1/1/2017 0:20,6.313,74.5,0.08,0.062,0.1,67803.22193
1/1/2017 0:30,6.121,75,0.083,0.091,0.096,65489.23209
1/1/2017 0:40,5.921,75.7,0.081,0.048,0.085,63650.44627
1/1/2017 0:50,5.853,76.9,0.081,0.059,0.108,62171.34398
1/1/2017 1:00,5.641,77.7,0.08,0.048,0.096,60937.36065
1/1/2017 1:10,5.496,78.2,0.085,0.055,0.093,59566.75124
1/1/2017 1:20,5.678,78.1,0.081,0.066,0.141,58030.61931
1/1/2017 1:30,5.491,77.3,0.082,0.062,0.111,57012.92027
1/1/2017 1:40,5.516,77.5,0.081,0.051,0.108,55970.64741
1/1/2017 1:50,5.471,76.7,0.083,0.059,0.126,55152.85838
1/1/2017 2:00,5.059,78.6,0.081,0.07,0.096,54290.73952
1/1/2017 2:10,4.968,78.8,0.084,0.07,0.134,52861.79492
1/1/2017 2:20,4.975,78.9,0.083,0.055,0.152,52186.32556
1/1/2017 2:30,4.897,79.1,0.083,0.07,0.096,51605.46517
1/1/2017 2:40,5.02,79.7,0.081,0.051,0.134,51161.38219
1/1/2017 2:50,5.407,78.5,0.082,0.062,0.163,50433.58248
1/1/2017 3:00,5.169,77.9,0.083,0.066,0.108,49783.65137
1/1/2017 3:10,5.081,77.7,0.084,0.051,0.13,49429.18669
1/1/2017 3:20,5.041,77.2,0.081,0.062,0.152,49080.25071
1/1/2017 3:30,5.034,76.9,0.083,0.051,0.185,48935.40873
1/1/2017 3:40,4.896,76.6,0.085,0.07,0.137,48337.87191
1/1/2017 3:50,4.805,76.2,0.081,0.059,0.134,47920.31588
1/1/2017 4:00,4.753,75.7,0.083,0.044,0.134,47930.28589
1/1/2017 4:10,4.901,74.4,0.083,0.07,0.122,47966.29235
1/1/2017 4:20,5.203,74.1,0.085,0.062,0.096,47689.36584
1/1/2017 4:30,5.394,71.9,0.081,0.073,0.1,47617.84176
1/1/2017 4:40,5.156,74,0.079,0.062,0.148,47649.26273
1/1/2017 4:50,5.179,74.2,0.083,0.037,0.137,47434.78151
1/1/2017 5:00,4.934,72.9,0.082,0.055,0.134,47592.71926
1/1/2017 5:10,4.718,75.8,0.08,0.051,0.152,47580.32783
1/1/2017 5:20,5.546,74,0.082,0.055,0.093,47737.38924
1/1/2017 5:30,4.658,73.5,0.08,0.044,0.104,48289.70354
1/1/2017 5:40,4.382,76.9,0.081,0.073,0.148,48601.17678
1/1/2017 5:50,4.212,78.3,0.081,0.117,0.082,49831.75221
1/1/2017 6:00,4.308,77.2,0.081,0.062,0.126,51196.74761
1/1/2017 6:10,4.735,74.3,0.08,0.04,0.156,50510.62736
1/1/2017 6:20,4.769,75.6,0.082,0.099,0.063,50028.49242
1/1/2017 6:30,4.92,73.7,0.083,0.099,0.096,49718.62612
1/1/2017 6:40,4.408,76.7,0.082,0.037,0.119,49324.57498
1/1/2017 6:50,4.29,77,0.085,0.033,0.193,47773.10222
1/1/2017 7:00,4.304,76,0.082,0.048,0.152,45818.7028
